instance_index,tempo_original,tempo_relaxado,len_original,len_relaxado,delta
138.0,5.756101369857788,0.7980349063873291,43.0,64.0,0.5
139.0,3.4034223556518555,0.8006348609924316,47.0,64.0,0.5
140.0,2.1701557636260986,0.7659881114959717,52.0,64.0,0.5
141.0,3.53167986869812,0.8638718128204346,50.0,64.0,0.5
142.0,4.565820217132568,0.7758452892303467,44.0,64.0,0.5
143.0,12.420348882675171,1.1416516304016113,40.0,64.0,0.5
144.0,6.283992290496826,0.9304547309875488,40.0,37.0,0.5
145.0,3.5205278396606445,0.7968289852142334,45.0,64.0,0.5
146.0,7.1742167472839355,0.8436703681945801,45.0,64.0,0.5
147.0,7.919728994369507,1.1737151145935059,41.0,64.0,0.5
148.0,18.128069162368774,0.8395087718963623,41.0,64.0,0.5
149.0,6.998006105422974,0.8095226287841797,41.0,64.0,0.5
150.0,4.311843633651733,0.7260446548461914,46.0,64.0,0.5
151.0,5.251666784286499,0.7522006034851074,45.0,64.0,0.5
152.0,5.129002094268799,0.7904860973358154,45.0,64.0,0.5
153.0,2.855048894882202,0.7683811187744141,47.0,64.0,0.5
154.0,3.883308172225952,0.8225953578948975,47.0,64.0,0.5
155.0,4.969094514846802,0.8172469139099121,46.0,64.0,0.5
156.0,2.309152603149414,0.749828577041626,53.0,64.0,0.5
157.0,2.6530890464782715,0.7713263034820557,50.0,64.0,0.5
158.0,4.869156360626221,0.7619788646697998,43.0,64.0,0.5
159.0,6.690294504165649,0.9318571090698242,40.0,39.0,0.5
160.0,2.5480713844299316,0.8250517845153809,48.0,64.0,0.5
161.0,4.8053460121154785,0.784031867980957,45.0,64.0,0.5
162.0,5.333700180053711,0.7549943923950195,42.0,64.0,0.5
163.0,5.158048152923584,0.722294807434082,47.0,64.0,0.5
164.0,4.825545072555542,0.8475210666656494,44.0,64.0,0.5
165.0,2.8082621097564697,0.7296617031097412,50.0,64.0,0.5
166.0,2.4457693099975586,1.0694911479949951,50.0,64.0,0.5
167.0,4.10626220703125,0.8130755424499512,43.0,64.0,0.5
168.0,2.83233904838562,0.7450499534606934,50.0,64.0,0.5
169.0,6.826184034347534,0.9149224758148193,39.0,42.0,0.5
